,0,0,0
0,1,第二星ヶ丘ビル・星ヶ丘テラス（星ヶ丘三越）,28255.508864591608
1,2,ダイエー今池店,6531.285749508072
2,3,アスティ（ヤマナカアスティ店）,4484.931486198907
3,4,池下市街地住宅賃貸施設（パレマルシェ池下店）,4738.281990585918
4,5,ヤマダ電機テックランド星ヶ丘店,2476.7092205006784
5,6,ショッピングセンターコスモ（アオキスーパー千代が丘店）,2017.5955477160037
6,7,服部本山ビル（松坂屋ストア本山店）,2114.111222918683
7,8,マックスバリュ今池店,1389.7671214098357
8,9,AOKI－社総本店,1159.975157303301
9,10,自由ヶ丘プラザ（マックスバリュ自由ヶ丘店）,918.0710807866234
10,11,今池ガスビル,820.7499726535226
11,12,ヤマナカ覚王山フランテ,755.0927495955633
12,13,ILYA,641.71832798612
13,14,ヤマナカ富士見台フランテ,508.61769444665157
14,15,ピアゴ　ラ：フーズコア萱場店,486.03781135325704
15,16,ZAZ,488.38141408663006
16,17,ツルヤ今池本店,474.39516528777324
17,18,レクサス星が丘,420.4960450392883
18,19,ルナプラザ（松坂屋ストア月見ヶ丘店）,408.85182395106034
19,20,イオンモールナゴヤドーム前（イオンナゴヤドーム前店）,47533.71952967826
20,21,大曽根ショッピングセンター・メッツ大曽根,14506.45403242297
21,22,東海ＴＶ放送旧本社ビル（ＩＤＣ大塚家具名古屋栄ショールーム）,8394.97022569281
22,23,ホームセンターコーナン砂田橋店,7925.455714203322
23,24,砂田橋ショッピングセンター（マックスバリュ砂田橋店）,3448.6644140189146
24,25,大塚屋車道本店,2058.884696276112
25,26,イオン徳川明倫ショッピングセンター（マックスバリュ徳川明倫店）,1903.0832382620883
26,27,NHK名古屋放送センタービル,1264.5479457214528
27,28,テレピア,1273.6763632272437
28,29,レクサス高岳,629.4824412472093
29,30,オートバックスナゴヤ東店,493.6720254876567
30,31,"ドン・キホーテ名古屋本店,コジマNEW名古屋北店",3551.148657558186
31,32,名鉄上飯田ショッピングセンター(パワーズ上飯田店),2349.1203115710005
32,33,スーパーマーケットバロー光音寺店,2189.671190728653
33,34,フィール 志賀公園店,1410.9792293495766
34,35,ふとんタナカ名古屋大曽根店,1335.992782043788
35,36,カーマホームセンター瑠離光店,1063.4125860687525
36,37,マックスバリュ鳩岡店,1001.8874334287838
37,38,"ミツワヤ楠店,ナフコ不二家楠店",652.0992605047901
38,39,エクボ辻町町,622.4683938672363
39,40,ピアゴ味鋺店,393.0365351872323
40,41,トップワン志賀店,405.9352572467326
41,42,ヨシヅヤ名古屋名西店,15277.000552301228
42,43,"ミユキモール（エイデン庄内通ミユキモール店,ヤマナカ庄内通店）",3549.9900348903448
43,44,"服部家具センター名西店,ヤマダ電機テックランド名西店",3224.0685018502413
44,45,ウェスティンナゴヤキャッスル,3341.865326567838
45,46,スーパーマーケットバロー堀越店,1211.651657964833
46,47,ノリタケの森(ノリタケスクエア名古屋),913.9769406153179
47,48,第7猪村ビル（ＡＯＫＩ名古屋浄心総本店）,770.3585941605053
48,49,サンエスビル（ヤマナカ小田井店）,675.5965138079002
49,50,名鉄又穂ショッピングセンター(プライスカット又穂),647.9437301932658
50,51,平和堂中小田井店,488.02319537342623
51,52,フィールファミリーテーブル,413.98090496977744
52,53,丸一上畠ビル,415.4199662173545
53,54,ハローフーヅ平田店,295.7396613447981
54,55,ゴルフ5名西店,370.1672760741449
55,56,JRセントラルタワーズ（ジェイアール名古屋タカシマヤ）,92184.95770772679
56,57,ビックカメラ名古屋駅西店,11673.975247119668
57,58,ピアゴ中村店,4088.166450108154
58,59,エイデン本店,3980.1246420883695
59,60,イオンタウン太閤ショッピングセンター（マックスバリュ太閤店）,2539.392127778866
60,61,パレマルシェ中村店,2060.6053553062266
61,62,カーマホームセンター八田店,1267.665108778712
62,63,八田ショッピングセンター（ヤマナカ八田フランテ館）,1139.9362696291616
63,64,名古屋駅前柳橋中央市場マルナカ食品センター,1128.7812979945156
64,65,ギガストア名古屋駅ナカ店,1008.2715504220864
65,66,カーマホームセンター名古屋黄金店(ホームセンター棟）,822.5481365697683
66,67,カーマホームセンター名古屋黄金店(ペット・園芸・資材・サイクル棟）,708.8933478845222
67,68,ヤマナカ則武店,620.5225802290221
68,69,ヤマナカ則武専門店(ファッションセンターしまむら則武店),561.5952398816976
69,70,アオキスーパー八田店,478.0828010042277
70,71,ゴトウ家具店,385.28501879855213
71,72,松坂屋・エンゼルビル・栄ガスビル（松坂屋名古屋本店）,118210.63980437609
72,73,オリエンタル・栄共同・名古屋三越栄店・ラシック,98944.81937051898
73,74,ナディアパーク開発商業ビル（ロフト名古屋）,16089.86771269879
74,75,前蔵ビル（ダイエー金山店）,6558.1831736780105
75,76,アスナル金山・地下鉄金山駅ビル,5751.381337412496
76,77,服部・米兵ビル（コメ兵名古屋本館）,3979.6132019783654
77,78,大須301ビル・万松寺ビル(OSU301),2329.563649595145
78,79,アクシオス千種（フィットハウス名古屋千種店）,2347.956301015857
79,80,グッドウィルエンターテイメントデジタルモールＥＤＭ本店,1966.6354687694823
80,81,ＷＶ　ＳＡＫＡＥ（ユニクロ名古屋栄店）,1722.1192108471012
81,82,丸善名古屋栄店,1469.061962175557
82,83,サンシャイン栄,1426.438768746339
83,84,名古屋東急ホテル,1389.5007003935418
84,85,明治安田生命名古屋ビル(メルサプラッツ),974.6500472585847
85,86,第二アメ横ビル,927.7200457231623
86,87,ヤマナカ松原店,860.3919281772959
87,88,ニューサカエ3番街,779.0438534587676
88,89,家具の青山,681.8006364342011
89,90,松坂屋ストア千代田店,649.3211468144614
90,91,コメ兵名古屋きもの館,597.7701471650932
91,92,ヤマナカつるまい店,567.1302991566326
92,93,泰生商事ビル(トップカメラ),476.26045666596855
93,94,ザ・コンランショップ名古屋店,484.25321202798176
94,95,グッドウィルエンターテイメントデジタルモール,458.99673767035085
95,96,ノリタケ栄店,432.31936309962185
96,97,日土地名古屋ビル,386.5366893830092
97,98,名古屋市中公設市場,361.84391880518564
98,99,古川ビル・八勝館ビル（イオン八事店）,14938.276559518448
99,100,フィールシャンピアポート,10063.482493379477
100,101,ケーズデンキ名古屋本店,3882.961326759426
101,102,カーマホームセンター川原店、マックスバリュ川原店,2629.00804706804
102,103,カーマホームセンター名古屋白金店,2255.6561735034884
103,104,SEIYU御器所店,1954.5043683357421
104,105,山手ショッピングセンター（トイザらス八事店）,1317.2694729924617
105,106,ＡＯＫＩ御器所総本店,1323.3541728449459
106,107,レクサス昭和,917.4102489061686
107,108,ヤマナカ安田店,804.1911706420235
108,109,シンシア山手,725.2217613333373
109,110,三洋堂書店いりなか店,732.5402180814232
110,111,ＡＯＫＩ　桜山店,448.4335659269482
111,112,カインズホーム名古屋堀田店,9328.10462560269
112,113,スーパーマーケットバロー瑞穂店,2948.2985741237153
113,114,ピアゴ・ラ・フーズコア桜山店,1678.2026658420546
114,115,三洋堂書店新開橋店,1268.996348441947
115,116,名鉄堀田駅ショッピングセンター（パレマルシェ堀田店）,923.3988273999202
116,117,新瑞ターミナルビル,706.4830859073885
117,118,ヤマナカ瑞穂店,453.3092719195737
118,119,栄市場,398.64765886587537
119,120,フィールみかん山店,391.6296003345762
120,121,イオンモール熱田（イオン熱田店）,52122.78153200047
121,122,カーマホームセンター２１熱田店,9943.34494305527
122,123,コジマNEW熱田店,4429.858004951956
123,124,コーナンＰＲＯ熱田四番町店,1635.9184703659498
124,125,ＳＥＩＹＵ熱田三番町店,962.1971440241481
125,126,日比野再開発B街区施設建築物（ヤマナカ日比野店）,452.2931586702399
126,127,スーパーストア　バロー戸田店,5966.081684088552
127,128,中島新町ショッピングセンター（ヤマナカ新中島フランテ館）,3949.017256522283
128,129,フィール　アイアイプラザ,2676.392428561795
129,130,ヤマダ電機テックランド名古屋本店,2573.0268011185385
130,131,スポーツデポ山王店,2822.108505132343
131,132,アルテ太平通(ザ・チャレンジハウス太平通),2090.119536140871
132,133,マックスバリュ昭和橋通店,1810.68060865871
133,134,フィール スマイルプラザ,1447.6606172431448
134,135,"マックスバリュ篠原橋東店,サンドラッグ篠原橋東店",1475.3673815955362
135,136,ドン・キホーテパウ中川山王店,1528.3442859974002
136,137,カーマホームセンター千音寺店,979.5919579506904
137,138,清水屋尾頭橋店,1243.6320868059065
138,139,ゲンキー玉川店,1083.239512794238
139,140,マックスバリュ福船店,885.5691706643682
140,141,ヒマラヤスポーツ＆ゴルフ千音寺店,484.50118513317994
141,142,平和堂豊成店,702.5831502587006
142,143,ふとんタナカアズタウン名古屋西店,472.7371208841044
143,144,ゲンキ―富船店,661.5523376612499
144,145,エイデン高畑店,614.1970309732601
145,146,ＡＯＫＩ 中川店,559.515148557684
146,147,バロー東起店,507.934705642403
147,148,アオキスーパー戸田店,367.87551837115205
148,149,ＡＯＫＩ 千音寺アズタウン店,365.6963112029372
149,150,ザ・ビッグエクスプレス荒子店,454.9198784829204
150,151,下之一色魚市場,354.8886939885352
151,152,イオンモール名古屋みなと（イオン名古屋みなと店),46428.35537284781
152,153,カインズモール名古屋みなと(カインズホーム名古屋みなと店),21873.686891831916
153,154,ファニチャードーム名古屋新本店,14372.18728322489
154,155,ブラザー港ショッピングセンタービル（アピタ東海通店）,8044.17925877035
155,156,エイデン名古屋みなと店,7133.78538404865
156,157,ケーズデンキ名古屋みなと店,3842.280070063812
157,158,エイデン東海道店,3112.450940193979
158,159,"タチヤみなと店,ユニクロ名古屋みなと店",2726.4478058525992
159,160,ホームセンターコーナン名港木場店,2930.8753382819286
160,161,バイクセブン名古屋店,2289.209217123277
161,162,スーパーオートバックスナゴヤベイ,2401.2757131496974
162,163,カーマホームセンター名古屋みなと店,2067.960733807457
163,164,ヤマナカ木場店,1760.6008521880522
164,165,マックスバリュ稲永店,1310.2969651673798
165,166,ホームセンターバロー名港店,1173.198065718104
166,167,フィールオアシスプラザ,1193.179216114061
167,168,服部家具センター本店,864.3754075715947
168,169,サンリョー園芸センタ―港店,1025.8831414690794
169,170,ジェティウエスト,905.8978266940607
170,171,買収王国港店,872.429405294812
171,172,ビッグリブみなと店,687.9735465950272
172,173,三洋堂書店当知店,675.2575717023292
173,174,スーパーマーケットバロー港栄店,603.7604063837222
174,175,アオキスーパー木場店,614.7913579560563
175,176,フィールエクボちとせ店,529.6108971244527
176,177,ファッションセンターしまむら十一屋店,319.3669915014604
177,178,イオンモール新瑞橋(イオン新瑞橋店),22838.91571332678
178,179,名古屋南ショッピングセンター（アピタ名古屋南店）,11397.2406833925
179,180,鳴浜ショッピングセンター（エイデン・ヤマナカ柴田店）,4802.199927851486
180,181,カーマホームセンター元塩店,3868.592879071552
181,182,ＩＤＣ大塚家具名古屋星崎ショールーム,3462.9355775861954
182,183,"あかのれん新瑞橋店,エイデン新瑞橋店",3229.89788856263
183,184,豊田本町公団ビル1号棟,2185.6849048358963
184,185,あかのれん内田橋店,1970.5666734775816
185,186,フィール食彩館,700.5416854723544
186,187,アウトレットギガ名古屋店,484.40978974092525
187,188,イオン守山店,18029.41405819932
188,189,清水屋藤ヶ丘店,8808.587434315516
189,190,ホームプラザナフコ守山店,3971.9158163068546
190,191,ピアゴ守山店,3346.1762073980726
191,192,カーマホームセンター守山吉根店,1883.138438923485
192,193,ピアゴ西城店,2436.665806217759
193,194,ヤマダ電機テックランド守山店,1777.3711928221246
194,195,スーパーマーケットバロー志段味店,1142.5025217140324
195,196,オークワ名古屋守山店,614.4908508131487
196,197,スーパーマーケットバロー新守山店,830.5580466804711
197,198,小幡駅前再開発B街区複合ビル(アクロス小幡OSプラザ),788.2493716510581
198,199,ホームセンターアント守山店,682.7476627968211
199,200,ヤマナカ四軒家店,563.6219912886714
200,201,クリエイトエス・ディー名古屋瀬古東店,611.9619054748713
201,202,"ゲオ守山吉根店,スギ薬局守山吉根店",401.38353377743033
202,203,ヤマナカ小幡店,459.36552441828434
203,204,ファッションセンターしまむら守山店,285.8361701357258
204,205,洋服の青山四軒家店,302.2723878892221
205,206,イオンモール大高（イオン大高店）,46891.3027417227
206,207,アピタ鳴海店,16500.132069002575
207,208,有松ジャンボリーＡ（フィール有松ジャンボリー店）,6730.081258033506
208,209,カインズホーム名古屋大高インター店,6816.38581355796
209,210,グリーンP（ジャンボエンチョー鳴海店）,5541.210939562562
210,211,ＳＥＩＹＵ鳴海店,4442.331515528099
211,212,ピアゴ清水山店,3598.23988120359
212,213,有松ジャンボリーＢ（ニトリ有松インター店）,3256.405544566335
213,214,ヤマナカ白土フランテ館・サンリョー園芸センター緑店,2999.2808820830714
214,215,ハローフーヅ滝ノ水店,3144.7592926876387
215,216,スーパーマーケットバロー滝ノ水店,2761.307294497005
216,217,ヤマダ電機テックランドＮｅｗ並店,2512.2751993454294
217,218,カーマホームセンター鳴海店,1819.4104970288122
218,219,スーパーマーケットバロー鳴海店,1365.535746275258
219,220,コジマＮＥＷ鳴海店,1231.8224549799916
220,221,緑ヶ丘共同ショッピングセンター（ドン・キホーテ緑店）,1144.1018032189854
221,222,フィールＥＱＶｏ！(エクボ)もも山店、本の王国ほら貝店,1199.566027233758
222,223,ふとんタナカ緑滝の水店,1003.9173323300915
223,224,ユーホーム桶狭間店,640.2933672407929
224,225,建デポプロ緑店,728.7728420977777
225,226,ピアゴ鹿山店,604.5716107855436
226,227,コープ大高インター店,468.5077813937601
227,228,ダイソー名古屋徳重店,399.00761551903224
228,229,ダイエー名古屋東店,16654.98130249073
229,230,名東ショッピングセンター（ダイエーメイトピア店）,6396.5599391465485
230,231,ＳＥＩＹＵ高針店,5532.852785942038
231,232,ホームセンターハイエース,2748.2960088660343
232,233,ケーズデンキ一社パワフル館,1931.8946680694748
233,234,ケーズデンキ極楽店,1559.9773710365414
234,235,カーマホームセンター香流店、マックスバリュ香流店,1673.1816480594366
235,236,松坂屋ストア藤が丘店,1203.2524228511356
236,237,ヤマナカ極楽フランテ,1190.4638556221653
237,238,レイ・エ・ルイ,1092.9418516908468
238,239,大矢家具店名古屋インター店,928.6952253179213
239,240,ＳＴＡＸ仙台屋名古屋店,891.7942080255542
240,241,アルペン一社店,762.1643216189635
241,242,松坂屋ストア本郷店,644.4294788303874
242,243,GAZA藤ヶ丘,366.17719002920524
243,244,ピアゴ植田店,3445.7331221492645
244,245,ダイエー鳴子店,3076.4021831844866
245,246,ピアゴ平針店,2364.265400336615
246,247,サンライズ平針（松坂屋ストア平針店）,1055.4794548567243
247,248,大嶋開発八事塩釜ビル（三洋堂書店塩釜店）,929.596498110906
248,249,ヤマナカ八事フランテ,767.1079459636765
249,250,スーパーオートバックス植田店,633.1015608951842
250,251,ドラッグスギヤマ植田店,599.5208352746384
251,252,ハローフーヅ天白店,515.167099863455
252,253,ゴルフ5平針店,456.8318104179265
