番号,"都道府県番号
市区町村
商業集積地（商店街）名",都道府県名,区番号,区名,区毎番号,名称,"集積
細分",Lat,Lng,事業所数,従業者数,年間商品販売額,売場面積,売場効率,従業員効率,理論売上との残差,理論売上,小型店事業所数,小型店従業者数,小型店年間商品販売額,小型店売場面積,小型店売場効率,小型店従業員効率,延べ店舗数2,大型店事業所数,大型店従業者数,大型店年間商品販売額,大型店売場面積,大型店売場効率,大型店従業員効率
1,23,愛知県,101,名古屋市千種区,1,仲田本通商店街,13,35.17037,136.9423,22,95,983,804,1,10,643,1626,22,95,983,804,1,10,0,0,0,0,0,0,0
2,23,愛知県,101,名古屋市千種区,2,池下本通商店街,13,35.168803,136.945548,3,16,58,85,1,4,40,98,3,16,58,85,1,4,0,0,0,0,0,0,0
3,23,愛知県,101,名古屋市千種区,3,仲田銀座商店街,13,35.168264,136.941545,7,22,302,489,1,14,123,425,7,22,302,489,1,14,0,0,0,0,0,0,0
4,23,愛知県,101,名古屋市千種区,4,今池東南商店街,12,35.1661289,136.936784,24,317,5312,8674,1,17,-2179,3133,19,103,2360,2012,1,23,1,5,214,2952,6662,0,14
5,23,愛知県,101,名古屋市千種区,5,覚王山商店街,13,35.166503,136.952527,37,159,1457,2072,1,9,286,1743,37,159,1457,2072,1,9,0,0,0,0,0,0,0
6,23,愛知県,101,名古屋市千種区,6,城山商店街,13,35.164509,136.96196,18,139,889,1223,1,6,303,1192,13,65,459,601,1,7,1,5,74,430,622,1,6
7,23,愛知県,101,名古屋市千種区,7,池下商店街,13,35.167786,136.945225,13,34,471,638,1,14,218,689,13,34,471,638,1,14,0,0,0,0,0,0,0
8,23,愛知県,101,名古屋市千種区,8,古井之坂通商店街,13,35.162106,136.931113,14,40,1319,661,2,33,1057,2376,14,40,1319,661,2,33,0,0,0,0,0,0,0
9,23,愛知県,101,名古屋市千種区,9,大久手商店街,13,35.1614032,136.936565,4,10,148,168,1,15,103,251,4,10,148,168,1,15,0,0,0,0,0,0,0
10,23,愛知県,101,名古屋市千種区,10,今池北商店街,12,35.1661289,136.936784,22,138,3868,1656,2,28,2998,6866,22,138,3868,1656,2,28,0,0,0,0,0,0,0
11,23,愛知県,101,名古屋市千種区,11,飯田街道商店街Ａ,13,35.158909,136.935009,3,8,55,79,1,7,38,93,3,8,55,79,1,7,0,0,0,0,0,0,0
12,23,愛知県,101,名古屋市千種区,12,今池西南商店街,12,35.1681051,136.935612,26,228,2638,2834,1,12,896,3534,18,170,1717,1229,1,10,3,8,58,921,1605,1,16
13,23,愛知県,101,名古屋市千種区,13,星ケ丘商店街,13,35.1610573,136.985473,58,814,31499,29214,1,39,-3274,28225,23,253,8565,2980,3,34,1,35,561,22934,26234,1,41
14,23,愛知県,101,名古屋市千種区,17,四谷通商店街,13,35.160057,136.96466,18,88,960,2321,0,11,-386,574,14,74,847,1584,1,11,2,4,14,113,737,0,8
15,23,愛知県,101,名古屋市千種区,18,千代ケ丘宮根商店街Ｂ,13,35.18304,136.979186,3,9,64,203,0,7,10,74,3,9,64,203,0,7,0,0,0,0,0,0,0
16,23,愛知県,101,名古屋市千種区,20,キャットロード本山商店街,13,35.1661148,136.963391,19,86,968,1405,1,11,268,1236,19,86,968,1405,1,11,0,0,0,0,0,0,0
17,23,愛知県,101,名古屋市千種区,21,アピタ千代田橋店,13,35.1868009,136.969237,32,587,12089,18232,1,21,-6742,5347,0,0,0,0,0,0,1,32,587,12089,18232,1,21
18,23,愛知県,101,名古屋市千種区,22,イオン千種ショッピングセンター,13,35.1614542,136.923743,39,548,10006,12721,1,18,-2008,7998,0,0,0,0,0,0,1,39,548,10006,12721,1,18
19,23,愛知県,102,名古屋市東区,3,矢田本通商店街,11,35.1939463,136.941267,8,46,386,304,1,8,296,682,8,46,386,304,1,8,0,0,0,0,0,0,0
20,23,愛知県,102,名古屋市東区,4,筒井町商店街,13,35.1688469,136.90315,12,49,577,1159,0,12,77,654,12,49,577,1159,0,12,0,0,0,0,0,0,0
21,23,愛知県,102,名古屋市東区,8,東筒井通商店街,13,35.1767479,136.927363,8,29,209,446,0,7,56,265,8,29,209,446,0,7,0,0,0,0,0,0,0
22,23,愛知県,102,名古屋市東区,10,車道本通７丁目商店街,13,35.173264,136.929443,10,94,1830,1827,1,19,863,2693,10,94,1830,1827,1,19,0,0,0,0,0,0,0
23,23,愛知県,102,名古屋市東区,13,オアシス２１,11,35.1709007,136.909673,9,104,835,1126,1,8,345,1180,9,104,835,1126,1,8,0,0,0,0,0,0,0
24,23,愛知県,102,名古屋市東区,14,車道町商店街,13,35.178448,136.930949,12,52,398,490,1,8,224,622,12,52,398,490,1,8,0,0,0,0,0,0,0
25,23,愛知県,102,名古屋市東区,15,広小路車道東商店街,11,35.169765,136.92963,3,29,295,275,1,10,212,507,3,29,295,275,1,10,0,0,0,0,0,0,0
26,23,愛知県,102,名古屋市東区,16,広小路車道西商店街,11,35.169285,136.928077,4,123,427,202,2,3,372,799,4,123,427,202,2,3,0,0,0,0,0,0,0
27,23,愛知県,102,名古屋市東区,17,代官町商店街,12,35.1777864,136.923335,19,109,1955,1377,1,18,1297,3252,19,109,1955,1377,1,18,0,0,0,0,0,0,0
28,23,愛知県,103,名古屋市北区,3,大曽根商店街（ＯＺモール）,13,35.19051,136.93237,22,352,2755,1389,2,8,2097,4852,22,352,2755,1389,2,8,0,0,0,0,0,0,0
29,23,愛知県,103,名古屋市北区,4,大曽根本通商店街（オゾンアベニュー）,11,35.19051,136.93237,11,78,2564,637,4,33,2325,4889,11,78,2564,637,4,33,0,0,0,0,0,0,0
30,23,愛知県,103,名古屋市北区,5,上飯田通商店街,11,35.1904155,136.908617,9,151,2426,1606,2,16,1670,4096,9,151,2426,1606,2,16,0,0,0,0,0,0,0
31,23,愛知県,103,名古屋市北区,6,鈴蘭通商店街,13,35.190527,136.929043,5,9,60,266,0,7,-16,44,5,9,60,266,0,7,0,0,0,0,0,0,0
32,23,愛知県,103,名古屋市北区,7,城東町通商店街,13,35.1942222,136.92124,6,47,340,80,4,7,324,664,6,47,340,80,4,7,0,0,0,0,0,0,0
33,23,愛知県,103,名古屋市北区,9,柳原通商店街,13,35.1904155,136.908617,21,80,825,1387,1,10,200,1025,21,80,825,1387,1,10,0,0,0,0,0,0,0
34,23,愛知県,103,名古屋市北区,12,味鋺天神通商店街,13,35.222774,136.936221,14,126,548,777,1,4,284,832,14,126,548,777,1,4,0,0,0,0,0,0,0
35,23,愛知県,103,名古屋市北区,13,味鋺商業集積地区,13,35.222774,136.936221,6,11,64,307,0,6,-15,49,6,11,64,307,0,6,0,0,0,0,0,0,0
36,23,愛知県,103,名古屋市北区,14,如意本通商店街,13,35.235513,136.921617,7,46,126,252,1,3,69,195,7,46,126,252,1,3,0,0,0,0,0,0,0
